county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_19_community_level,date_updated
Wilkin County,27167,Minnesota,6207,547,"Cass (Fargo), ND - Clay, MN",346542,6.2,5.8,177.22,Low,2022-03-03T07:00:00Z
York County,31185,Nebraska,13679,611,"York, NE - Polk, NE",18892,0,0,153.52,Low,2022-06-16T07:00:00Z
Garvin County,40049,Oklahoma,27711,430,"Cleveland (Norman), OK - McClain, OK",366272,1.4,7.6,36.09,Low,2022-04-14T07:00:00Z
Manistee County,26101,Michigan,24558,271,"Grand Traverse, MI - Manistee, MI",198535,4.3,10.1,97.73,Medium,2022-06-09T07:00:00Z
Daviess County,29061,Missouri,8278,548,"Jackson (Kansas City), MO - Clay, MO",1310630,1.7,5.3,72.48,Low,2022-05-12T07:00:00Z
Wyoming County,36121,New York,39859,54,"Erie (Buffalo), NY - Monroe, NY",2070158,2.3,3.2,15.05,Low,2022-03-31T07:00:00Z
Benton County,05007,Arkansas,279141,446,"Washington (Fayetteville), AR - Benton, AR",577913,4.4,6.2,72.72,Low,2022-03-10T07:00:00Z
Falls County,48145,Texas,17297,462,"McLennan (Waco), TX - Hill, TX",361152,1.4,2.2,40.47,Low,2022-06-02T07:00:00Z
Grant County,41023,Oregon,7199,806,"Grant, OR",7199,0,0,333.38,Medium,2022-06-30T07:00:00Z
Jefferson Davis County,28065,Mississippi,11128,504,"Jefferson Davis, MS - Lawrence, MS",23714,1.8,8.4,413.37,Medium,2022-07-07T07:00:00Z
Venango County,42121,Pennsylvania,50668,52,"Venango, PA - Clarion, PA",96353,1.4,3.1,25.66,Low,2022-04-21T07:00:00Z
Oneida County,36065,New York,228671,59,"Oneida (Utica), NY - Madison, NY",360931,3.7,4.2,107.58,Low,2022-08-04T07:00:00Z
Oswego County,36075,New York,117124,56,"Onondaga (Syracuse), NY - Oswego, NY",654228,3.5,8.9,112.7,Low,2022-07-28T07:00:00Z
Clinch County,13065,Georgia,6618,174,"Ware, GA - Pierce, GA",72981,1.1,4.1,75.55,Low,2022-06-23T07:00:00Z
Jones County,19105,Iowa,20681,545,"Linn (Cedar Rapids), IA - Johnson, IA",491983,3.4,10.2,33.85,Medium,2022-03-03T07:00:00Z
Isabela Muni,72071,Puerto Rico,40423,904,Puerto Rico,3193694,1.3,4.7,190.49,Low,2022-04-21T07:00:00Z
Custer County,30017,Montana,11402,714,"Custer, MT - Fallon, MT",19517,0.4,25.6,61.39,High,2022-07-07T07:00:00Z
Fluvanna County,51065,Virginia,27270,99,"Albemarle, VA - Charlottesville City, VA",383641,4.5,12.8,172.35,Medium,2022-07-21T07:00:00Z
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,1.1,4.4,303.06,Medium,2022-05-12T07:00:00Z
Bonneville County,16019,Idaho,119062,722,"Bonneville, ID - Madison, ID",221838,1.3,4.1,109.19,Low,2022-09-01T07:00:00Z
Campbell County,51031,Virginia,54885,14,"Roanoke City, VA - Roanoke, VA",592537,2,6.1,136.65,Low,2022-05-12T07:00:00Z
Hampton County,45049,South Carolina,19222,212,"Charleston (Charleston), SC - Berkeley, SC",859021,3.1,10.2,239.31,High,2022-07-21T07:00:00Z
